Date,Time,Open
04-19-2021,12:00:00,56191.58594
04-20-2021,12:00:00,55681.79297
04-21-2021,12:00:00,56471.12891
04-22-2021,12:00:00,53857.10547
04-23-2021,12:00:00,51739.80859
04-24-2021,12:00:00,51143.22656
04-25-2021,12:00:00,50052.83203
04-26-2021,12:00:00,49077.79297
04-27-2021,12:00:00,54030.30469
04-28-2021,12:00:00,55036.63672
04-29-2021,12:00:00,54858.08984
04-30-2021,12:00:00,53568.66406
05-01-2021,12:00:00,57714.66406
05-02-2021,12:00:00,57825.86328
05-03-2021,12:00:00,56620.27344
05-04-2021,12:00:00,57214.17969
05-05-2021,12:00:00,53252.16406
05-06-2021,12:00:00,57441.30859
05-07-2021,12:00:00,56413.95313
05-08-2021,12:00:00,57352.76563
05-09-2021,12:00:00,58877.39063
05-10-2021,12:00:00,58250.87109
05-11-2021,12:00:00,55847.24219
05-12-2021,12:00:00,56714.53125
05-13-2021,12:00:00,49735.43359
05-14-2021,12:00:00,49682.98047
05-15-2021,12:00:00,49855.49609
05-16-2021,12:00:00,46716.63672
05-17-2021,12:00:00,46415.89844
05-18-2021,12:00:00,43488.05859
05-19-2021,12:00:00,42944.97656
05-20-2021,12:00:00,36753.66797
05-21-2021,12:00:00,40596.94922
05-22-2021,12:00:00,37371.03125
05-23-2021,12:00:00,37531.44922
05-24-2021,12:00:00,34700.36328
05-25-2021,12:00:00,38795.78125
05-26-2021,12:00:00,38392.625
05-27-2021,12:00:00,39316.89063
05-28-2021,12:00:00,38507.08203
05-29-2021,12:00:00,35684.15625
05-30-2021,12:00:00,34607.40625
05-31-2021,12:00:00,35658.59375
06-01-2021,12:00:00,37293.79297
06-02-2021,12:00:00,36699.92188
06-03-2021,12:00:00,37599.41016
06-04-2021,12:00:00,39242.48438
06-05-2021,12:00:00,36880.15625
06-06-2021,12:00:00,35538.60938
06-07-2021,12:00:00,35835.26563
06-08-2021,12:00:00,33589.51953
06-09-2021,12:00:00,33416.97656
06-10-2021,12:00:00,37389.51563
06-11-2021,12:00:00,36697.03125
06-12-2021,12:00:00,37340.14453
06-13-2021,12:00:00,35555.78906
06-14-2021,12:00:00,39016.96875
06-15-2021,12:00:00,40427.16797
06-16-2021,12:00:00,40168.69141
06-17-2021,12:00:00,38341.42188
06-18-2021,12:00:00,38099.47656
06-19-2021,12:00:00,35854.52734
06-20-2021,12:00:00,35563.14063
06-21-2021,12:00:00,35641.14453
06-22-2021,12:00:00,31622.37695
06-23-2021,12:00:00,32515.71484
06-24-2021,12:00:00,33682.80078
06-25-2021,12:00:00,34659.10547
06-26-2021,12:00:00,31594.66406
06-27-2021,12:00:00,32287.52344
06-28-2021,12:00:00,34679.12109
06-29-2021,12:00:00,34475.55859
06-30-2021,12:00:00,35908.38672
07-01-2021,12:00:00,35035.98438
